episode:1,Updates:1/100,Timesteps:8000/400000,FPS:145.0,avg_sp:2.4,avg_xp_0_0:41.05,avg_xp_0_1:23.5,value_loss:3.023438636461894,policy_loss:-0.01706022536021578,dist_entropy:7.138965010643005,actor_grad_norm:0.4609440088272095,critic_grad_norm:22.770714342594147,ratio:3.996218188603719,best_i:0,average_step_rewards:0.012000000104308128
episode:2,Updates:2/100,Timesteps:12000/400000,FPS:144.0,avg_sp:4.8,avg_xp_0_0:31.95,avg_xp_0_1:31.15,value_loss:1.4658378245929877,policy_loss:-0.009366773467578386,dist_entropy:7.101284408569336,actor_grad_norm:0.46215709249178566,critic_grad_norm:11.121419942378997,ratio:3.9990155259768168,best_i:0,average_step_rewards:0.024000000208616257
episode:3,Updates:3/100,Timesteps:16000/400000,FPS:135.0,avg_sp:6.6,avg_xp_0_0:42.5,avg_xp_0_1:21.25,value_loss:1.342932117730379,policy_loss:-0.014092153158466658,dist_entropy:7.051622454325358,actor_grad_norm:0.4152278244495392,critic_grad_norm:11.983278002341589,ratio:3.9995978236198426,best_i:0,average_step_rewards:0.032999999821186066
episode:4,Updates:4/100,Timesteps:20000/400000,FPS:135.0,avg_sp:7.8,avg_xp_0_0:28.75,avg_xp_0_1:27.75,value_loss:1.2396472989271083,policy_loss:-0.015571328411513482,dist_entropy:6.977989141146342,actor_grad_norm:0.39883530139923096,critic_grad_norm:8.384922254085541,ratio:4.00006639957428,best_i:0,average_step_rewards:0.039000000804662704
episode:5,Updates:5/100,Timesteps:24000/400000,FPS:132.0,avg_sp:9.15,avg_xp_0_0:31.55,avg_xp_0_1:25.95,value_loss:0.9761198858420054,policy_loss:-0.017554505351797017,dist_entropy:6.916225576400757,actor_grad_norm:0.3490271806716919,critic_grad_norm:8.031899720430374,ratio:4.0018942276636755,best_i:0,average_step_rewards:0.04574999958276749
episode:6,Updates:6/100,Timesteps:28000/400000,FPS:131.0,avg_sp:13.2,avg_xp_0_0:33.7,avg_xp_0_1:26.55,value_loss:0.97542536581556,policy_loss:-0.023405083077098224,dist_entropy:6.82203041712443,actor_grad_norm:0.4213975509007772,critic_grad_norm:8.659619729717573,ratio:3.99583740234375,best_i:0,average_step_rewards:0.06599999964237213
episode:7,Updates:7/100,Timesteps:32000/400000,FPS:130.0,avg_sp:12.4,avg_xp_0_0:32.1,avg_xp_0_1:27.55,value_loss:1.030188166598479,policy_loss:-0.022490388325229264,dist_entropy:6.71579913298289,actor_grad_norm:0.46765032211939495,critic_grad_norm:9.086203600962957,ratio:4.004015592734019,best_i:0,average_step_rewards:0.06199999898672104
episode:8,Updates:8/100,Timesteps:36000/400000,FPS:129.0,avg_sp:19.75,avg_xp_0_0:26.25,avg_xp_0_1:21.25,value_loss:0.9545235984027386,policy_loss:-0.02163818424145371,dist_entropy:6.630243905385336,actor_grad_norm:0.3949835002422333,critic_grad_norm:9.262951997915904,ratio:3.9944504698117576,best_i:0,average_step_rewards:0.09875000268220901
episode:9,Updates:9/100,Timesteps:40000/400000,FPS:129.0,avg_sp:19.25,avg_xp_0_0:27.6,avg_xp_0_1:17.2,value_loss:0.8861439108848572,policy_loss:-0.01594345583943652,dist_entropy:6.483455411593119,actor_grad_norm:0.4153599838415782,critic_grad_norm:8.463144381841024,ratio:3.997009646892548,best_i:0,average_step_rewards:0.09624999761581421
episode:10,Updates:10/100,Timesteps:44000/400000,FPS:129.0,avg_sp:21.65,avg_xp_0_0:24.9,avg_xp_0_1:16.25,value_loss:0.9920659104983012,policy_loss:-0.009658797205425807,dist_entropy:6.367690237363179,actor_grad_norm:0.4292361577351888,critic_grad_norm:8.453641710678736,ratio:3.9995338956514996,best_i:0,average_step_rewards:0.10824999958276749
episode:11,Updates:11/100,Timesteps:48000/400000,FPS:129.0,avg_sp:23.4,avg_xp_0_0:21.5,avg_xp_0_1:14.3,value_loss:0.8386453022559484,policy_loss:-0.007885155156565205,dist_entropy:6.213839348157247,actor_grad_norm:0.40309484004974366,critic_grad_norm:7.388241583108902,ratio:4.000307381153107,best_i:0,average_step_rewards:0.11699999868869781
episode:12,Updates:12/100,Timesteps:52000/400000,FPS:129.0,avg_sp:29.35,avg_xp_0_0:18.3,avg_xp_0_1:14.15,value_loss:0.8477464810013771,policy_loss:-0.0014940071793893969,dist_entropy:6.085044932365418,actor_grad_norm:0.4207702656586965,critic_grad_norm:8.87335245211919,ratio:3.996291212240855,best_i:0,average_step_rewards:0.14675000309944153
episode:13,Updates:13/100,Timesteps:56000/400000,FPS:129.0,avg_sp:36.95,avg_xp_0_0:16.15,avg_xp_0_1:11.7,value_loss:1.0759670808911324,policy_loss:-0.0016047221191848612,dist_entropy:5.927299292882283,actor_grad_norm:0.44165661533673606,critic_grad_norm:9.26016600728035,ratio:3.9946643749872845,best_i:0,average_step_rewards:0.1847500056028366
